央视频道,#genre#
CCTV1,http://iptv.weai.love/10010/88888888/gxgg.play?tvid=cctv1
CCTV2,http://iptv.weai.love/10010/88888888/gxgg.play?tvid=cctv2
CCTV3,http://iptv.weai.love/10010/88888888/gxgg.play?tvid=cctv3
CCTV4,http://iptv.weai.love/10010/88888888/gxgg.play?tvid=cctv4
CCTV5,http://iptv.weai.love/10010/88888888/gxgg.play?tvid=cctv5
CCTV5+,http://iptv.weai.love/10010/88888888/gxgg.play?tvid=cctv5p
CCTV6,http://iptv.weai.love/10010/88888888/gxgg.play?tvid=cctv6
CCTV7,http://iptv.weai.love/10010/88888888/gxgg.play?tvid=cctv7
CCTV8,http://iptv.weai.love/10010/88888888/gxgg.play?tvid=cctv8
CCTV9,http://iptv.weai.love/10010/88888888/gxgg.play?tvid=cctv9
CCTV10,http://iptv.weai.love/10010/88888888/gxgg.play?tvid=cctv10
CCTV11,http://iptv.weai.love/10010/88888888/gxgg.play?tvid=cctv11
CCTV12,http://iptv.weai.love/10010/88888888/gxgg.play?tvid=cctv12
CCTV13,http://iptv.weai.love/10010/88888888/gxgg.play?tvid=cctv13
CCTV14,http://iptv.weai.love/10010/88888888/gxgg.play?tvid=cctv14
CCTV15,http://iptv.weai.love/10010/88888888/gxgg.play?tvid=cctv15
CCTV16,http://iptv.weai.love/10010/88888888/gxgg.play?tvid=cctv16
CCTV17,http://iptv.weai.love/10010/88888888/gxgg.play?tvid=cctv17
CCTV1,https://live.goodiptv.club/api/bestv.php?id=cctv1hd8m/8000000
CCTV2,https://live.goodiptv.club/api/bestv.php?id=cctv2hd8m/8000000
CCTV3,https://live.goodiptv.club/api/bestv.php?id=cctv38m/8000000
CCTV4,https://live.goodiptv.club/api/bestv.php?id=cctv4hd8m/8000000
CCTV5,https://live.goodiptv.club/api/bestv.php?id=cctv58m/8000000
CCTV5+,https://live.goodiptv.club/api/bestv.php?id=cctv5phd8m/8000000
CCTV6,https://live.goodiptv.club/api/bestv.php?id=cctv6hd8m/8000000
CCTV7,https://live.goodiptv.club/api/bestv.php?id=cctv7hd8m/8000000
CCTV8,https://live.goodiptv.club/api/bestv.php?id=cctv8hd8m/8000000
CCTV9,https://live.goodiptv.club/api/bestv.php?id=cctv9hd8m/8000000
CCTV10,https://live.goodiptv.club/api/bestv.php?id=cctv10hd8m/8000000
CCTV11,https://live.goodiptv.club/api/bestv.php?id=cctv11hd8m/8000000
CCTV12,https://live.goodiptv.club/api/bestv.php?id=cctv12hd8m/8000000
CCTV13,https://live.goodiptv.club/api/bestv.php?id=cctv13xwhd8m/8000000
CCTV14,https://live.goodiptv.club/api/bestv.php?id=cctvsehd8m/8000000
CCTV15,https://live.goodiptv.club/api/bestv.php?id=cctv15hd8m/8000000
